step,drift_score
10112,1.2193746234647078e-06
10144,1.6757504857001612e-06
10176,1.4601655267364351e-06
10208,1.7670849662515062e-06
10240,9.25502966885543e-07
10272,1.1111373332009387e-06
10304,1.720528104412022e-06
10336,1.6538064871261368e-06
10368,1.651434162955972e-06
10400,1.9550916567370664e-06
10432,1.6075461658079232e-06
10464,1.733872427869199e-06
10496,2.060956622830671e-06
10528,1.8068213961017665e-06
10560,1.691467133327503e-06
10592,2.9313030527598824e-06
10624,2.2584526099968904e-06
10656,1.642537947317854e-06
10688,1.4675790397682e-06
10720,2.023295976629305e-06
10752,8.460301071850221e-07
10784,9.515985327573558e-07
10816,9.515985327573558e-07
10848,9.394403713852612e-07
10880,1.2045475974011777e-06
10912,1.6541030276474074e-06
10944,1.3219776438243353e-06
10976,1.2315327848368024e-06
11008,7.769361657289724e-07
11040,9.296545341833314e-07
11072,1.1707419779763293e-06
11104,7.025044948900517e-07
11136,9.118621029070954e-07
11168,1.2887651054420282e-06
11200,1.0212855552559468e-06
11232,6.740366048480741e-07
11264,1.4056020708226446e-06
11296,6.242177972746132e-07
11328,9.349922635662022e-07
11360,1.1318951696898807e-06
11392,1.0497534452979245e-06
11424,1.1262608997857394e-06
11456,7.715984363461016e-07
11488,1.7584852911346586e-06
11520,1.2855031597080515e-06
11552,1.0711043628294076e-06
11584,7.194073046024759e-07
11616,5.459310996591748e-07
11648,5.569030989461871e-07
11680,9.115655623858248e-07
11712,1.342142399270736e-06
11744,1.4886334167784126e-06
11776,1.285206619186781e-06
11808,6.695884970290151e-07
11840,1.0286990682877119e-06
11872,7.763430846864312e-07
11904,6.434929311572023e-07
11936,4.661616994373834e-07
11968,1.0450087969575948e-06
12000,1.6247455160416181e-06
12032,9.382542093001788e-07
12064,7.374962763999825e-07
12096,8.6471216002507e-07
12128,1.0903794967119968e-06
12160,1.3219776438243353e-06
12192,8.81021888694953e-07
12224,1.0049758265860639e-06
12256,1.0977930097437617e-06
12288,1.24517364881525e-06
12320,1.2976613210801461e-06
12352,9.453711818106732e-07
12384,8.570021064720343e-07
12416,6.933117387306631e-07
12448,4.712028882989836e-07
12480,7.707088147822898e-07
12512,8.40988918323422e-07
12544,8.107417851538207e-07
12576,1.0823729026376904e-06
12608,1.1677765727636233e-06
12640,7.997697858668086e-07
12672,1.162735383902023e-06
12704,1.6125873546695235e-06
12736,9.397369119065318e-07
12768,9.800664227993335e-07
12800,1.077628254297361e-06
12832,8.486989718764576e-07
12864,6.529822278378614e-07
12896,8.783530240035176e-07
12928,1.0384849054896417e-06
12960,1.1852724635185888e-06
12992,1.3249430490370414e-06
13024,1.678122809870326e-06
13056,1.0832625242015022e-06
13088,7.609229775803599e-07
13120,5.560134773823753e-07
13152,4.240529454169582e-07
13184,4.32356080012535e-07
13216,4.744648340329602e-07
13248,5.681716387544699e-07
13280,6.903463335179571e-07
13312,9.999346377244636e-07
13344,7.128834131345227e-07
13376,1.0971999287012205e-06
13408,8.742014567057291e-07
13440,8.193414602706682e-07
13472,5.52454991127128e-07
13504,5.77660935435129e-07
13536,7.837565977181962e-07
13568,8.421750804085044e-07
13600,1.1579907355616935e-06
13632,1.9073486328125e-06
13664,8.872492396416356e-07
13696,1.2632626206127565e-06
13728,1.0669527955316191e-06
13760,1.2232296502412254e-06
13792,9.507089111935439e-07
13824,1.0370022028832886e-06
13856,9.524881543211676e-07
13888,8.887319422479886e-07
13920,5.610546662439754e-07
13952,8.676775652377759e-07
13984,7.757500036438899e-07
14016,8.06886758377303e-07
14048,5.59868504158893e-07
14080,6.194731489342837e-07
14112,5.580892610312694e-07
14144,3.5495900396090835e-07
14176,5.601650446801636e-07
14208,5.942672046262826e-07
14240,7.573644913251127e-07
14272,7.443167083892063e-07
14304,1.0444157159150536e-06
14336,1.2175953803370841e-06
14368,9.587155052678503e-07
14400,1.0408572296598065e-06
14432,6.31038229263837e-07
14464,1.1143992789349154e-06
14496,1.130115926562257e-06
14528,1.6247455160416181e-06
14560,8.75091078269541e-07
14592,8.154864334941503e-07
14624,7.455028704742887e-07
14656,1.0343333381918532e-06
14688,1.4168706106309274e-06
14720,9.943003678203223e-07
14752,5.414829918401158e-07
14784,5.987153124453417e-07
14816,6.606922813908971e-07
14848,4.6645823995865397e-07
14880,3.8461305608796836e-07
14912,3.9617813641752176e-07
14944,8.973316173648359e-07
14976,1.0150582043092643e-06
15008,1.2786827277188278e-06
15040,1.1096546305945857e-06
15072,1.2395393789111085e-06
15104,1.172521221103953e-06
15136,1.5230321172458022e-06
15168,1.0049758265860639e-06
15200,9.720598287250271e-07
15232,1.0017138808520872e-06
15264,1.1244816566581157e-06
15296,6.568372546143793e-07
15328,8.537401607380578e-07
15360,9.90741881565075e-07
15392,1.5298525492350261e-06
15424,1.2878754838782163e-06
15456,9.649428562145328e-07
15488,9.963761514692163e-07
15520,8.335754052916569e-07
15552,7.971009211753731e-07
15584,6.853051446563569e-07
15616,7.517302214209713e-07
15648,7.887977865797964e-07
15680,8.377269725894453e-07
15712,8.36540810504363e-07
15744,5.041188861600202e-07
15776,4.0151586580039255e-07
15808,7.796050304204077e-07
15840,6.586164977420029e-07
15872,8.214172439195623e-07
15904,1.3774307213019375e-06
15936,1.479440660619024e-06
15968,1.0438226348725123e-06
16000,1.217002299294543e-06
16032,2.7418136596679688e-06
16064,2.8100179795602067e-06
16096,2.181648614987805e-06
16128,1.858419446802851e-06
16160,1.977035655311091e-06
16192,1.851005933771086e-06
16224,1.4376284471198693e-06
16256,1.4637240129916822e-06
16288,1.260593755921321e-06
16320,1.4554208783961054e-06
16352,1.5037569833632133e-06
16384,1.489819578863495e-06
16416,1.7558164264432234e-06
16448,1.2617799180064035e-06
16480,1.6081392468504645e-06
16512,1.4746960122786944e-06
16544,9.59012045789121e-07
16576,7.256346555491585e-07
16608,1.0651735524039957e-06
16640,1.1022411175628208e-06
16672,9.394403713852612e-07
16704,5.913017994135767e-07
16736,6.467548768911788e-07
16768,7.656676259206896e-07
